Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Packets Looked Up,Packets Matched
184379,127606472,12805010,300800,2940,2,278,556,4,0,0,0,0,0,968715,968571
3120,44331601,31707361,2500,1741,55,3778,280,2,0,0,0,0,0,8102,7943
341,6315124,6404041,999,963,0,0,602,5,0,0,0,0,0,3888,3765
1134,31535564,12804008,2068,1727,0,0,280,2,0,0,0,0,0,4371,4292
49,6812,733768,13508,36,7,871,727479,13463,0,0,0,0,0,22617,22535
95916,5191540,20062,143,176,5003,270320,278,2,0,0,0,0,0,96884,96769
8002,132803902,113824960,6398,3176,3,320,280,2,630255,6302552,630255,6302552,630255,26341,26109
87,11701,19497,201,86,2,278,278,2,0,0,0,0,0,1617,1523
349094,14725685,31818678,155850,1235,4,556,560,4,0,0,0,0,0,646867,646743
93907,23973755,36805523,98508,186,5249,283774,283456,5246,0,0,0,0,0,193257,193156
120355,49242094,70115901,317776,1547,4,556,278,2,0,0,0,0,0,991817,991693
678,6348799,22810,173,196,5,598,602,5,0,0,0,0,0,2219,2112
3324,25518886,249216,1807,2726,4,556,556,4,0,0,0,0,0,15256,15114
1213,6442951,12760413,1613,1482,2,278,278,2,0,0,0,0,0,7968,7760
372,6323194,20013,199,91,4,556,560,4,0,0,0,0,0,850,763
246,25555,18022,136,146,5,626,556,4,0,0,0,0,0,1387,1286
5585,88564744,261528,1920,2846,4,556,556,4,0,0,0,0,0,19228,19095
3420,56928527,38024615,2987,1612,2,278,278,2,0,0,0,0,0,13506,13280
5594,94850446,19121272,2223,2046,2,278,278,2,0,0,0,0,0,15926,15792
3624,44392520,57037366,4531,2331,3,348,560,4,630261,6302618,630261,6302618,630261,20748,20521
607,12633530,6337364,537,156,4,556,560,4,0,0,0,0,0,8506,8405
488,6331383,12635411,673,96,71,5109,278,2,0,0,0,0,0,1335,1233
1143,18982408,62404,486,631,4,556,556,4,0,0,0,0,0,3272,3150
5565,107337221,165081339,418895,2347,53,3518,2495810,77,0,0,0,0,0,1001558,1001424
4926,126159248,94975826,6746,3227,0,0,280,2,0,0,0,0,0,26449,26217
3074,50592241,50577155,2850,1162,3,458,736,5,0,0,0,0,0,9047,8851
1216,18955862,37957897,2245,1232,0,0,560,4,0,0,0,0,0,7915,7710
1137,157157,12767487,1550,1737,2,278,556,4,0,0,0,0,0,7263,7145
181042,165237478,207681921,292113,2747,4,556,280,2,0,0,0,0,0,671091,670954
76,10269,10269,76,66,5,759,759,5,0,0,0,0,0,3000,2908
444,12620070,79489,1323,101,4,556,5848,102,480,65610,480,65610,480,2054,1957
3196,44354316,50676788,3649,2142,2,278,278,2,0,0,0,0,0,9386,9224
4045,82067439,101146758,5623,2086,143,5776877,6167,87,0,0,0,0,0,11086,11006
4536,57030167,193070,1427,2086,2,278,278,2,0,0,0,0,0,12641,12509
99358,24235573,22208,168,191,5157,278818,560,4,0,0,0,0,0,199172,199066
4342,61987589,173225,1284,1866,135,4990006,278,2,0,0,0,0,0,9968,9837
1363,25277239,18981073,1289,424,2,278,278,2,0,0,0,0,0,4443,4290
2825,25453225,6505409,1766,2052,5,663,663,5,0,7546,0,7546,0,11598,11457
2131,12829467,25438299,2505,2212,4,556,556,4,0,0,0,0,0,8315,8236
1998,44177928,44394745,3573,2377,0,0,560,4,0,0,0,0,0,16356,16225
240,16586,12620769,452,106,0,0,560,4,0,0,0,0,0,788,727
7467,151617884,94943644,6726,2607,2,278,320,3,0,0,0,0,0,24690,24451
1117,149751,25376963,2031,1601,4,556,556,4,0,0,0,0,0,9235,9014
1878,12798544,38080130,3562,1896,4,556,556,4,0,0,0,0,0,10820,10693
555,6339497,12774818,3202,176,3,320,5396,97,507,138186,507,138186,507,4023,3907
50,3692,18931,184,126,0,0,278,2,0,0,0,0,0,463,401
289,25432,12079,90,86,87,5860,322,3,0,0,0,0,0,1339,1240
584,12623132,12648360,773,231,0,0,556,4,0,0,0,0,0,1970,1875
538,18911557,50306,543,246,0,0,556,4,0,0,0,0,0,265354,265253
511,6340627,12644198,682,271,4,556,560,4,0,0,0,0,0,3799,3699
475,12623698,12661311,1024,136,2,278,278,2,754,7549,754,7549,754,2586,2483
1545,93542,93220,1542,136,99,5506,5506,99,561,76464,561,76464,561,3388,3321
4436,75868216,193140,1428,2086,2,278,278,2,0,0,0,0,0,13945,13815
2722,6442836,6454473,2803,91,191,10302,10858,195,939,137227,939,137227,939,5957,5874
478,12615851,6346258,605,251,0,0,278,2,0,0,0,0,0,1782,1675
352185,46464275,91082922,215236,2687,4,556,560,4,0,0,0,0,0,670121,669984
525,34475,34633,527,66,100,5889,5893,100,486,23544,486,23544,486,1397,1304
44910,2434646,9049304,50875,101,80,5847,5646165,144,0,0,0,0,0,96200,96109
288,34637,6339314,479,316,2,280,280,2,0,0,0,0,0,914,847
365,12608174,40038,411,221,0,0,556,4,0,0,0,0,0,1214,1156
180,23944,31571504,1489,211,4,556,560,4,0,0,0,0,0,3707,3608
6208,107461057,63319494,4420,2212,4,556,560,4,0,0,0,0,0,15169,15037
370,34156,6337643,543,151,2,278,280,2,0,0,0,0,0,1855,1754
187,6304489,25975,255,141,0,0,560,4,0,0,0,0,0,1548,1456
98,13199,13553,101,101,4,560,560,4,0,0,0,0,0,205,145
1112,60376,70619,1184,76,94,5076,5674,99,550,59076,550,59076,550,3577,3489
1030,18956062,24781155,108933,196,5,598,281144,5200,0,0,0,0,0,217750,217651
761,12646815,24390,186,216,3,320,320,3,0,0,0,0,0,1823,1721
1427,193070,57030167,4536,2086,2,278,278,2,0,0,0,0,0,16596,16458
424,6329272,18468,142,151,4,362,362,4,0,0,0,0,0,1599,1485
350162,14873502,101351008,159498,2870,2,278,280,2,0,0,0,0,0,667095,666960
202,19636,6322379,366,81,4,556,556,4,630328,6303287,630328,6303287,630328,895,791
112882,18702988,24800901,109276,216,3,320,320,3,0,0,0,0,0,223180,223082
986,18942444,25276205,1349,366,0,0,560,4,0,0,0,0,0,3210,3105
3929,56967805,69559369,4060,1742,2,278,278,2,0,0,0,0,0,11827,11616
390,6325718,6318808,288,121,3,348,2101875,63,249512,6303419,249512,6303419,249512,1456,1353
6048,88612626,234562,1726,2546,4,556,556,4,0,0,0,0,0,14330,14192
336,40089,40045,325,387,4,556,556,4,0,0,0,0,0,1268,1159
61662,15928951,18904231,746,136,93,6304,278,2,0,0,0,0,0,129088,128990
642,18918645,6346933,667,176,0,0,278,2,0,0,0,0,0,7252,7157
3442,31830182,38150942,3864,3057,2,278,278,2,0,0,0,0,0,21622,21399
1038,18956670,22218,162,196,4,556,556,4,0,0,0,0,0,2931,2821
1397,12731754,6459479,1677,1151,4,556,556,4,0,0,0,0,0,6787,6663
3081,50605497,31680987,2369,1326,2,278,278,2,0,0,0,0,0,8910,8790
5617,113632329,149286426,251441,2760,0,0,560,4,0,7414,0,7414,0,666324,666189
185310,26748857,23998067,119818,1410,2,280,280,2,0,0,0,0,0,510801,510720
81,10867,84823,1446,76,4,556,10874,195,0,0,0,0,0,2956,2870
3763,44441966,82292816,5253,3196,6,510,560,4,0,0,0,0,0,23665,23434
3442,44382965,57002811,3973,2347,2,278,278,2,0,0,0,0,0,16190,16056
2034,50468200,38017425,2942,1512,0,0,560,4,0,0,0,0,0,6724,6569
351,6326369,37982,391,196,5,598,556,4,0,0,0,0,0,2263,2168
457,12621621,153557,2680,116,4,556,10816,194,1004,138078,1004,138078,1004,3344,3246
66200,9750328,6320303,301,136,162,6171440,348,3,0,0,0,0,0,132594,132493
562,6330308,19014505,1379,993,0,0,560,4,0,0,0,0,0,4232,4109
997,18943252,25359766,1962,1286,0,0,278,2,0,0,0,0,0,8805,8685
157,20650,6339714,559,176,3,320,320,3,0,0,0,0,0,99734,99621
2336,37904860,75884148,4221,2182,0,0,280,2,590767,5908544,590767,5908544,590767,15841,15616
3248,75715076,69690636,5134,2977,0,0,560,4,0,0,0,0,0,11744,11577
172,22896,22412,162,201,2,278,278,2,0,0,0,0,0,1194,1136
149,15775,15747,143,104,4,556,556,4,0,0,0,0,0,899,764
503,6333861,12630420,581,126,47,3529,2495407,70,249512,6303287,249512,6303287,249512,1203,1105
187,17356,9078,66,56,54,4152,556,4,0,0,0,0,0,715,632
139,18342,17838,127,151,2,278,278,2,0,0,0,0,0,77032,76928
428,6320912,12638103,639,206,0,0,556,4,0,0,0,0,0,204631,204532
473,12615546,6333611,503,121,0,0,280,2,0,0,0,0,0,1076,1021
469,12615285,6335330,523,136,60,4241,4333187,112,0,0,0,0,0,5353,5259
124,8657,6313832,251,71,1,70,350,3,0,0,0,0,0,805,718
2190,24091914,25418573,2412,1886,136,4990218,556,4,0,0,0,0,0,10414,10283
7182,182946112,137332717,415468,2917,0,0,560,4,0,0,0,0,0,674645,674508
1221,6444063,12761525,1621,1492,4,556,556,4,0,0,0,0,0,7992,7784
822,12639739,25351868,1847,1286,0,0,278,2,0,0,0,0,0,8435,8315
2650,63096755,60894294,247526,1850,0,0,280,2,0,0,0,0,0,654768,654644
106414,30924385,12059699,106387,216,1,42,320,3,0,0,0,0,0,213352,213292
732,18933956,18772,140,156,82,5728,556,4,0,0,0,0,0,89097,88984
11,926,11193,83,76,0,0,556,4,0,0,0,0,0,66193,66103
2445,63083101,38096847,3624,2192,128,5120547,4713,65,285,6310241,285,6310241,285,14979,14846
723,18770965,6332650,495,126,161,6171370,6190,92,0,0,0,0,0,1710,1615
14142,769194,405192,7401,56,14082,760756,396796,7342,0,0,0,0,0,28339,28247
179267,146202748,56952095,153811,1940,2,278,280,2,0,0,0,0,0,656373,656246
211,27602,35248,318,251,3,348,278,2,0,0,0,0,0,1404,1336
1638,88796,102255,1734,111,94,5092,5302,95,502,87048,502,87048,502,3850,3764
4918,126158720,94960162,6633,3057,0,0,280,2,0,0,0,0,0,25917,25689
269,36707,39887,332,397,2,278,278,2,0,0,0,0,0,1272,1170
117,8199,6330135,376,241,0,0,278,2,0,0,0,0,0,2291,2192
12090,246314382,19221816,3142,2947,4,556,556,4,0,0,0,0,0,29015,28776
175,23090,24532519,104848,201,2,280,296306,5484,0,0,0,0,0,105539,105422
3538,12782659,12806527,3716,216,95,5130,5452,98,496,6464360,496,6464360,496,7424,7356
1616,19026128,11539090,1382,876,4,556,5121488,139,0,0,0,0,0,5803,5691
513,12628283,11376902,93746,181,4,556,3974613,5608,0,0,0,0,0,94932,94833
496,12626426,33649,350,166,5,598,556,4,0,0,0,0,0,854,794
537,12631710,25104,193,221,4,556,556,4,0,0,0,0,0,116577,116478
417,41666,18960383,1063,246,4,556,626,5,0,0,0,0,0,241973,241865
4629,69606383,75908815,4819,1746,4,560,6120,88,542,5424,542,5424,542,13540,13409
651,63733,25256657,1044,396,2,278,278,2,0,0,0,0,0,2515,2448
716,12644931,12657415,889,284,146,6039240,5712,82,0,0,0,0,0,2494,2338
424,6320725,12642754,681,246,1,70,556,4,0,0,0,0,0,1634,1570
549,6336033,6332327,302,91,63,2101875,560,4,370,9265,370,9265,370,1143,1054
374,6323028,11811,85,86,2,278,278,2,0,0,0,0,0,1927,1821
66,8916,8952,63,56,4,556,556,4,0,0,0,0,0,47702,47616
118715,23942689,51133574,316507,1087,2,278,556,4,0,0,0,0,0,984623,984501
774,6354260,20486,155,171,4,556,560,4,0,0,0,0,0,1895,1802
727,12642907,24195434,98141,176,3,320,270278,5002,0,0,0,0,0,99734,99621
96,12855,12855,96,96,2,278,278,2,0,0,0,0,0,1228,1127
364,12608062,29095,330,101,23,526079,2285,26,0,0,0,0,0,1178,1086
105,14009,14051,106,106,4,556,556,4,0,0,0,0,0,1271,1178
1519,6474864,156921,1167,1712,2,280,278,2,0,0,0,0,0,6153,6021
1364,6423572,12703221,1191,836,2,278,278,2,0,7549,0,7549,0,5448,5331
3044,19232654,44469470,4116,3287,4,556,556,4,0,0,0,0,0,25848,25619
3258,31796924,82214267,4918,2536,4,556,556,4,0,0,0,0,0,15865,15731
68,9202,8992,67,56,5,602,672,6,0,0,0,0,0,713,663
1832,19070838,25379734,2078,1536,4,556,556,4,0,0,0,0,0,8286,8156
496,12617098,6341556,592,161,0,0,280,2,0,9284,0,9284,0,3104,3004
3177,44330447,25433493,2829,1641,4,556,560,4,0,6302552,0,6302552,0,14616,14400
186,6304417,23697,233,126,1,70,278,2,0,0,0,0,0,517,457
13,1082,17894,133,146,0,0,602,5,0,0,0,0,0,274,213
396,37897,12628998,513,191,4,560,560,4,0,0,0,0,0,1476,1416
858,12652009,19100717,3728,181,4,556,5794,101,469,146556,469,146556,469,4580,4515
10895,221059262,12901120,2846,2747,2,278,278,2,14,148,14,148,14,26469,26230
2037,6540196,214922,1585,2357,2,280,278,2,0,0,0,0,0,8944,8806
430,6331093,12773903,3189,171,4,556,5524,96,448,137808,448,137808,448,6589,6486
1404,6458397,25379935,2096,1562,2,278,278,2,0,98,0,98,0,5646,5494
1568,31565386,38015144,2754,1687,0,0,280,2,0,0,0,0,0,9348,9222
11,926,14255,108,106,0,0,560,4,0,0,0,0,0,1213,1119
560,65350,6368741,729,602,2,278,278,2,0,0,0,0,0,3476,3358
576,6331006,18945072,851,221,0,0,560,4,0,0,0,0,0,1875,1817
138,18138,3782595,69822,146,4,556,271960,5030,0,0,0,0,0,70494,70391
4717,75935438,50723542,4045,2597,4,556,556,4,0,0,0,0,0,19674,19450
1105,152709,12762761,1516,1687,2,278,278,2,0,0,0,0,0,6611,6493
2996,63114912,75958790,4961,2757,132,5644808,4912,70,0,0,0,0,0,19187,18964
87,11701,6409852,2011,86,2,278,2374383,257,0,0,0,0,0,4026,3940
727,95204,19019400,1468,1011,4,556,556,4,0,0,0,0,0,5760,5592
2944,176540,18778,144,156,100,5728,598,5,0,0,0,0,0,6226,6116
249,17204,12619583,443,91,43,3115,2364419,69,0,0,0,0,0,780,716
564,6341966,23650,173,211,4,556,556,4,0,0,0,0,0,1065,953
180714,177776966,75904995,154695,2310,4,556,560,4,814,8143,814,8143,814,660288,660153
302,6312365,6330600,431,166,0,0,556,4,0,0,0,0,0,1594,1494
108421,31047997,24284,184,211,155,6040059,560,4,0,0,0,0,0,224210,224115
109,14477,2707120,49946,111,2,280,278,2,0,0,0,0,0,50264,50167
299,6319992,16674,127,131,5,759,759,5,0,0,0,0,0,4699,4597
1378,31550070,25394803,2335,1542,0,0,556,4,0,6302552,0,6302552,0,8623,8415
1057,18960736,12659169,910,256,6,829,759,5,0,0,0,0,0,3208,3102
2416,25318055,50143,596,161,97,5408,278,2,0,0,0,0,0,3269,3159
65,9036,9036,65,56,4,556,556,4,0,0,0,0,0,1004,915
143725,32960441,14057754,143342,286,4,556,556,4,0,0,0,0,0,289480,289373
1970,31592840,62502975,3881,2366,79,5234,5515364,149,0,0,0,0,0,17021,16894
361,12607883,28922,321,111,0,0,278,2,0,0,0,0,0,128438,128347
2015,274554,31811756,3207,2986,4,556,556,4,0,0,0,0,0,17334,17095
510,64494,62404,486,631,4,560,556,4,0,0,0,0,0,2603,2479
105954,5725230,18260694,104782,216,1,42,322,3,0,0,0,0,0,210916,210854
273,6316440,20458,210,96,2,278,6561,93,720,7681,720,7681,720,971,874
307,6312657,6327922,411,136,1,70,280,2,0,0,0,0,0,841,778
2562,12738540,12730564,2446,116,104,5944,5906,103,-9531,0,-9531,0,-9531,5795,5702
2305,56777776,44346533,3348,1732,0,0,560,4,0,0,0,0,0,7983,7824
481,31282,31240,480,56,98,5632,5632,98,513,22032,513,22032,513,1714,1623
51623,2796965,15047575,45341,126,5396,291554,6068452,5539,0,0,0,0,0,97354,97257
3521,69501817,56923991,3599,1272,5,598,556,4,0,6302618,0,6302618,0,11436,11221
1358,6423372,78726,579,857,75,2626954,556,4,0,0,0,0,0,4678,4551
535,18911271,42146,481,161,0,0,278,2,0,0,0,0,0,12045,11954
3065,69417083,63348582,4647,2506,0,0,556,4,0,0,0,0,0,10565,10483
9417,183211050,251530,1840,2737,2,278,278,2,0,0,0,0,0,16151,15912
2269,12848649,31782738,3134,2427,2,278,556,4,0,6303419,0,6303419,0,10545,10465
1285,25254484,31711061,2517,1767,0,0,280,2,0,0,0,0,0,9828,9702
291,6311594,6322116,372,66,72,5029,5515098,142,630328,6311693,630328,6311693,630328,810,717
668,87410,6414398,1181,923,4,556,3608,46,318,15425,318,15425,318,3529,3407
181460,177851307,208737963,292187,2797,43,3150,1051842,44,92021,920218,92021,920218,92021,671838,671701
647,84556,6395951,933,893,2,278,280,2,0,0,0,0,0,2892,2771
2305,56777776,44347373,3354,1742,0,0,280,2,0,0,0,0,0,8102,7943
1775,37881929,36924,378,196,150,5908709,556,4,0,0,0,0,0,188152,188044
466,49932,6346623,544,407,4,556,280,2,0,0,0,0,0,1663,1556
143,19002,19044,144,156,4,560,560,4,0,0,0,0,0,294,227
5421,75989414,50737340,4101,2776,2,278,280,2,0,0,0,0,0,19235,19009
712,18935261,40366,415,221,4,556,556,4,0,0,0,0,0,1728,1634
6079,18952882,19235486,6220,196,350,6050298,17388,294,1677,12895896,1677,12895896,1677,12927,12831
1374,83072,12639,94,91,101,5794,560,4,534,6367483,534,6367483,534,5577,5485
4922,126158984,94965804,6674,3117,3,190,602,5,0,0,0,0,0,26052,25824
4248,50744552,82252586,4988,2757,4,556,556,4,0,0,0,0,0,12559,12396
2924,25482749,107551464,6994,2526,2,278,4646,64,0,0,0,0,0,14274,14136
117,16254,16100,114,131,5,759,759,5,0,0,0,0,0,234,178
1378,31550070,25389243,2295,1482,0,0,278,2,0,0,0,0,0,7968,7760
1039,25237692,19010382,1504,722,40,2935,3414592,93,498927,6310849,498927,6310849,498927,4679,4564
4145,69548556,176909,1311,1906,2,278,278,2,0,0,0,0,0,12851,12725
321,39391,6356803,706,374,4,556,560,4,0,0,0,0,0,3900,3742
407,6334048,46245,459,281,2,278,280,2,0,0,0,0,0,3258,3147
333,30670,12622336,461,126,2,278,320,3,0,15171,0,15171,0,4472,4384
5466,88553578,88521958,4964,2301,4,556,560,4,0,0,0,0,0,20424,20200
1744,31577611,50615064,3049,1586,36,2653,1839339,57,630341,6303419,630341,6303419,630341,10886,10758
3065,69417083,63346636,4633,2486,0,0,278,2,0,7285,0,7285,0,10537,10455
1852,19066467,137979,1055,1442,2,278,278,2,0,0,0,0,0,7453,7245
2814,19162949,31754457,2934,2076,2,278,5835,82,0,0,0,0,0,13413,13287
119,8337,6317286,284,96,29,2189,1970327,58,0,0,0,0,0,89388,89296
82,11103,7749712,26833,76,4,556,556,4,0,0,0,0,0,53705,53610
199,19512,11979,89,86,2,278,278,2,0,0,0,0,0,1207,1114
296,6311960,6324672,393,91,0,0,560,4,0,0,0,0,0,86588,86501
158077,14833802,20710001,150139,191,8704,470016,470626,8709,0,0,0,0,0,317821,317722
2684,6440878,6460066,2826,166,96,5172,5728,100,518,128358,518,128358,518,6635,6540
477,12615839,6341921,571,201,0,0,322,3,0,0,0,0,0,2246,2147
5862,94890112,232616,1712,2526,2,278,278,2,0,0,0,0,0,15841,15707
4237,63322135,75988153,5447,2577,148,5908427,278,2,0,0,0,0,0,15131,15002
1854,252354,69607170,4422,2746,2,278,280,2,0,0,0,0,0,25526,25397
584,12623132,12641756,722,161,0,0,278,2,0,0,0,0,0,1578,1483
473,12615579,6347383,615,261,0,0,759,5,0,0,0,0,0,1554,1492
409,6319685,12639197,649,211,59,4171,4464739,117,630355,6303551,630355,6303551,630355,1229,1164
407,6334644,50273020,231150,291,2,278,293770,5437,0,0,0,0,0,462831,462721
521,6327379,18946290,848,256,83,3151479,4336,55,0,0,0,0,0,3192,3088
329,28787,61971,1006,96,2,278,5408,97,486,48492,486,48492,486,1512,1420
2149,12831969,25455519,2737,2242,2,278,4713,65,1457,14570,1457,14570,1457,9194,9115
106280,12050631,24464,187,216,3,320,278,2,0,0,0,0,0,214021,213920
3057,81993956,44458642,4401,2627,0,0,560,4,0,5624,0,5624,0,17876,17650
3393,69439981,88549428,5238,2377,57,4039,4596009,120,0,0,0,0,0,16356,16225
186,6304410,21831,215,111,0,0,278,2,0,0,0,0,0,597,504
910,121239,31700323,2679,1286,2,278,278,2,0,0,0,0,0,9901,9770
98,13715,13841,101,106,4,556,598,5,0,0,0,0,0,544,457
1369,19013447,25348981,2016,1032,2,278,556,4,0,0,0,0,0,7683,7517
2722,157504,15439,114,121,211,12275,560,4,0,0,0,0,0,5902,5803
349623,14798371,76053604,158146,2040,4,556,560,4,0,0,0,0,0,657248,657120
1972,12805758,12789723,1742,1927,4,556,556,4,0,0,0,0,0,7905,7785
75446,29250436,4084916,75320,156,5332,2517169,287657,5308,0,0,0,0,0,151105,151045
3771,69534589,19068121,1811,1516,2,278,278,2,0,0,0,0,0,9423,9303
537,18911468,52514,567,261,152,6170707,7169,100,561,6150,561,6150,561,2324,2223
557,12598969,6325904,399,116,4,556,556,4,0,0,0,0,0,1445,1354
128,16942,16886,129,136,2,278,278,2,0,0,0,0,0,66837,66725
4820,100994648,130880258,413544,2297,0,0,560,4,0,0,0,0,0,665373,665238
583,12631482,12623945,470,141,42,3339,2233148,66,236385,12606573,236385,12606573,236385,1833,1734
189,17830,6313419,244,66,5,759,829,6,0,0,0,0,0,582,488
86,12079,12493,92,91,4,556,556,4,0,0,0,0,0,275,181
621,6351414,40277,338,366,4,556,556,4,0,0,0,0,0,1692,1576
4178,69570423,56968415,3900,1792,2,278,278,2,0,0,0,0,0,15542,15316
1037,25251268,6356625,744,271,4,556,556,4,0,0,0,0,0,2188,2073
7048,177563044,137323520,415362,2877,39,920292,2808,40,205,6305807,205,6305807,205,673991,673854
475,12615685,6347106,631,231,0,0,560,4,0,0,0,0,0,3173,3077
2058,25374653,6453115,1366,1502,83,3282570,3658,51,0,0,0,0,0,8281,8073
400,6319123,12641862,676,236,0,0,556,4,0,0,0,0,0,1531,1471
107,14869,15343,113,121,4,556,626,5,0,0,0,0,0,823,731
531,12630876,24270,187,211,4,556,556,4,0,0,0,0,0,111545,111446
1709,19036267,6405037,978,1031,125,5251276,280,2,0,0,0,0,0,6867,6699
409,6319687,12637944,639,201,0,0,280,2,0,0,0,0,0,210159,210053
14,1172,23144,174,201,0,0,322,3,0,0,0,0,0,6624,6520
676,18931168,18931011,673,181,117,4464735,556,4,0,0,0,0,0,149325,149221
304,6321386,6329038,415,151,28,657646,2139,26,225,6310968,225,6310968,225,723,665
103,14119,128853,2227,111,2,278,10324,188,0,0,0,0,0,4841,4744
1300,175311,6494390,1699,1917,4,556,556,4,0,0,0,0,0,6900,6768
1983,117854,6413690,2045,121,102,5864,5794,101,518,6397753,518,6397753,518,8597,8511
367,12608302,35762,377,171,0,0,560,4,0,0,0,0,0,2167,2072
8199,164273662,107608488,7592,3137,2,278,5690,84,0,0,0,0,0,22053,21830
454,10779317,6369120,782,542,121,4464648,4866,69,0,0,0,0,0,2516,2399
147,19292,19292,147,161,2,278,278,2,0,0,0,0,0,84326,84211
139,9751,6321257,326,111,0,0,280,2,0,0,0,0,0,1313,1224
361,12607887,38236,391,206,0,0,560,4,0,0,0,0,0,202920,202823
773,6372441,61234,489,601,2,278,278,2,0,0,0,0,0,2307,2184
1473,31558885,31675818,2325,1276,104,4070369,4461,59,0,0,0,0,0,8787,8667
315508,76227795,44871526,316223,1487,0,0,556,4,0,7615,0,7615,0,991051,990927
1443,25295353,64072,498,651,2,278,278,2,0,0,0,0,0,4668,4551
78,10547,56801,933,71,2,278,5426,97,0,0,0,0,0,1948,1863
528,6327817,18937438,791,146,0,0,626,5,0,0,0,0,0,139539,139436
103765,18194620,18218592,103943,216,5488,296352,296632,5490,0,0,0,0,0,208337,208232
135,18012,12602679,593,151,2,278,278,2,0,0,0,0,0,973,868
2893,56816728,82162649,4342,1742,0,0,280,2,0,0,0,0,0,15899,15683
1474,19004850,62404,486,631,84,3020765,556,4,0,0,0,0,0,3467,3350
2542,44210018,75927840,4602,2607,0,0,278,2,0,0,0,0,0,17035,16812
292,6311664,6322350,370,76,37,2719,2233145,66,223258,6303287,223258,6303287,223258,728,669
3120,31791974,31816068,3466,2697,2,278,278,2,0,0,0,0,0,18547,18324
2566,44216608,86076021,247829,1740,0,0,560,4,0,0,0,0,0,652563,652439
3111,6474464,21290,163,181,102,5848,556,4,14904,149040,14904,149040,14904,7262,7159
188,6304574,27013,256,166,0,0,602,5,0,0,0,0,0,2378,2280
860,18940679,14843,111,116,4,556,556,4,0,0,0,0,0,50690,50588
130,9073,6316460,271,96,45,3247,2232869,64,0,0,0,0,0,590,504
2325,37904142,75867007,4088,2012,0,0,280,2,564487,6302552,564487,6302552,564487,14754,14538
402,6327094,17164,131,136,2,278,278,2,0,0,0,0,0,1448,1345
112550,24979392,30296338,113966,206,5096,276636,5522878,5144,0,0,0,0,0,226832,226732
969,18955200,12643999,686,266,2,278,278,2,0,0,0,0,0,4068,3959
522,12629722,23116,178,201,2,278,278,2,0,0,0,0,0,105910,105811
924,119923,19048453,1722,1242,4,556,556,4,29,294,29,294,29,4679,4532
2609,31721906,38017344,2670,1866,2,278,278,2,0,0,0,0,0,8442,8309
125009,19340513,13062530,125073,161,0,0,280,2,0,0,0,0,0,251244,251141
1677,31572910,44336326,3052,1887,0,0,560,4,0,6304145,0,6304145,0,10912,10785
634,18918076,6356696,744,271,0,0,556,4,0,0,0,0,0,2406,2295
141,9779,6314843,254,81,76,5293,4464738,117,582,8737,582,8737,582,548,455
1566,44147962,29022435,239045,1400,0,0,280,2,0,0,0,0,0,510789,510708
105,14081,6460696,2903,106,4,560,10978,197,0,0,0,0,0,3322,3226
6034,88610680,232616,1712,2526,64,4646,278,2,0,0,0,0,0,14274,14136
